qname	C1	C2	C2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	Y1	Y2	Y3	YH	EBNA2_delta	miR-BHRF1-1_processed	BHRF1.2	miR-BHRF1-2_processed	miR-BHRF1-3_processed	U
c99f4514-a316-420b-9752-74af1267e20d	133	32	0	0	66	0	0	111	0	59	0	126	0	0	68	0	125	0	0	62	0	131	0	0	65	0	136	0	0	70	0	129	0	35	121	0	1635	0	0	0	0	0	0
158b48f7-6fff-4d3c-ac09-f80856a1ba81	142	35	0	0	68	0	129	0	0	0	61	128	0	0	63	0	123	0	0	68	0	129	0	0	66	0	134	0	0	66	0	143	0	0	123	0	1626	0	0	0	0	0	0
816d2c82-d1fe-4e8c-b4a5-73742146f810	128	32	0	0	66	0	0	111	0	62	0	0	0	0	66	0	131	0	0	65	0	126	0	0	62	0	126	0	0	66	0	130	0	31	118	0	1604	0	0	0	0	0	0
57f42ada-4553-4d42-9b75-fa09897b3aa3	126	0	24	0	66	0	0	0	0	0	0	120	0	0	66	0	129	0	0	62	0	124	0	0	66	0	312	0	0	63	0	126	0	33	122	0	1617	0	0	0	0	0	0
979b172b-456c-41f5-8d8e-6daefb377e3a	135	0	24	0	71	0	131	0	0	68	0	142	0	0	66	0	129	0	0	68	0	134	0	0	66	0	137	0	0	66	0	145	0	33	129	0	0	0	0	1225	0	0	0
5d65e8ef-38cc-4a10-a92a-7d351229746d	132	0	24	0	0	0	0	0	0	0	58	127	0	0	66	0	333	0	0	0	0	129	0	0	0	61	131	0	0	70	0	128	0	35	122	78	0	0	0	0	0	0	0
c45a89a6-3117-4e40-a140-12303e09ef27	122	32	0	0	0	0	0	0	0	68	0	131	0	0	66	0	128	0	0	61	0	124	0	0	66	0	0	0	0	66	0	125	0	33	125	0	1625	0	0	0	0	0	0
238f4c00-a9bd-4fad-82e4-9f39a8b9f10a	135	0	24	0	0	61	0	0	0	0	59	126	0	0	66	0	134	0	0	62	0	126	0	0	63	0	132	0	0	63	0	134	0	33	126	0	1620	0	0	0	0	0	0
3da6e053-88c1-4172-b009-d09f5c3ef125	132	32	0	0	0	61	132	0	0	72	0	129	0	0	66	0	126	0	0	65	0	123	0	0	66	0	127	0	0	66	0	126	0	35	122	0	1630	0	0	0	0	0	0
77c76ee9-dc95-4f16-b22f-baeb5c1f88d6	126	0	26	0	0	61	125	0	0	66	0	122	0	0	66	0	128	0	0	62	0	126	0	0	66	0	128	0	0	63	0	131	0	36	124	0	1603	0	0	0	0	0	0
c620d288-3b15-4fde-99be-7b9fec52e6ee	125	32	0	0	62	0	137	0	0	63	0	132	0	0	63	0	129	0	0	65	0	309	0	0	63	0	129	0	0	0	0	0	0	33	126	0	1629	0	0	0	0	0	0
441925b4-c0d2-4743-bc98-308324bab42d	125	0	27	0	0	58	0	0	0	0	0	132	0	0	66	0	127	0	0	65	0	128	0	0	63	0	316	0	0	66	0	134	0	33	124	0	0	0	0	0	0	0	0
b06a03dc-ad83-43ac-8c02-02db5d72047f	133	0	24	0	66	0	130	0	0	66	0	129	0	0	66	0	131	0	0	65	0	133	0	0	66	0	129	0	0	63	0	130	0	33	121	0	1616	0	0	0	0	0	0
e24126f4-279e-47e9-94dd-c2ff5b200b48	128	29	0	0	66	0	126	0	0	66	0	128	0	0	68	0	122	0	0	62	0	134	0	0	63	0	132	0	0	68	0	132	0	33	130	0	1637	0	0	0	0	0	0
0b37bab8-cb72-4a62-b89b-44740a3b1c53	132	0	24	0	63	0	132	0	0	0	0	0	0	0	66	0	128	0	0	62	0	128	0	0	60	0	305	0	0	66	0	126	0	30	0	0	1619	0	0	0	0	0	0
88314455-87e7-4877-a92e-a4c327cb8f2a	138	28	0	0	66	0	122	0	0	60	0	132	0	0	68	0	120	0	0	62	0	333	0	0	66	0	125	0	0	0	0	0	0	33	119	0	1645	0	0	0	0	0	0
dce657f2-942c-4e87-acf3-1d65f528a47a	117	0	24	0	0	0	0	0	0	70	0	126	0	0	66	0	126	0	0	67	0	313	0	0	67	0	128	0	0	62	0	135	0	33	132	0	1548	0	0	0	0	0	0
3233d495-7a80-4aaf-8141-eceeff3523b0	125	32	0	0	66	0	126	0	0	65	0	128	0	0	66	0	125	0	0	65	0	134	0	0	66	0	129	0	0	66	0	129	0	33	124	0	1646	0	0	0	0	0	0
5218014a-ef30-44ac-a373-2a9e413c4eaf	125	34	0	0	66	0	131	0	0	63	0	129	0	0	66	0	132	0	0	67	0	132	0	0	63	0	126	0	0	66	0	121	0	33	122	0	1678	0	0	0	0	0	0
5e46b7d3-4ff6-4eed-900a-e90ab57970f8	130	0	24	0	66	0	123	0	0	66	0	0	109	0	70	0	129	0	0	65	0	126	0	0	66	0	129	0	0	66	0	134	0	33	126	0	0	0	0	1190	0	0	0
57b37f98-43c8-474b-bad0-a48632532907	129	0	24	0	0	61	132	0	0	66	0	116	0	0	63	0	126	0	0	65	0	131	0	0	63	0	122	0	0	66	0	136	0	33	122	0	1664	0	0	0	0	0	0
23139f90-eba2-4e16-8de0-c361b58ab3db	129	32	0	0	62	0	129	0	0	66	0	129	0	0	65	0	133	0	0	65	0	327	0	0	66	0	135	0	0	0	0	0	0	33	122	0	1609	0	0	0	0	0	0
907a8598-1596-471e-8d3f-cb23ddc2c50c	127	0	26	0	0	61	129	0	0	66	0	134	0	0	65	0	126	0	0	65	0	132	0	0	65	0	129	0	0	66	0	132	0	33	122	0	0	0	0	1204	0	0	0
35b8bd28-1ed0-400f-81a7-932a804eb564	128	0	24	0	0	63	135	0	0	66	0	129	0	0	66	0	137	0	0	63	0	0	111	0	66	0	123	0	0	66	0	126	0	33	119	0	1656	0	0	0	0	0	0
57bbe320-68fd-4d7b-b394-640f0647061d	133	32	0	0	0	0	0	0	0	0	61	129	0	0	63	0	135	0	0	65	0	132	0	0	63	0	126	0	0	0	64	128	0	33	118	0	0	0	0	0	0	0	0
0c9ef66b-7189-4ab0-95e8-b08ca87d1816	127	0	24	0	66	0	0	0	0	63	0	126	0	0	66	0	131	0	0	62	0	129	0	0	66	0	0	108	0	63	0	126	0	35	125	0	1631	0	0	0	0	0	0
16c25e7f-023f-45a1-b9d6-64b31e8cb969	131	0	28	0	0	63	121	0	0	62	0	128	0	0	66	0	129	0	0	54	0	134	0	0	66	0	129	0	0	71	0	121	0	28	116	0	1630	0	0	0	0	0	0
0d670097-cd48-498b-9e49-b736707b1f33	131	32	0	0	66	0	135	0	0	66	0	126	0	0	63	0	131	0	0	65	0	132	0	0	65	0	130	0	0	66	0	120	0	33	122	0	0	0	0	1221	0	0	0
32c343ef-01e5-4f49-8470-3cc871fe511b	123	32	0	0	0	0	0	0	0	0	0	0	0	0	66	0	126	0	0	59	0	128	0	0	62	0	495	0	0	66	0	126	0	33	122	0	1619	0	0	0	0	0	0
af7256c7-ae27-404b-8008-01eaf6c0f0d5	132	29	0	0	68	0	127	0	0	66	0	130	0	0	60	0	134	0	0	65	0	0	0	0	65	0	129	0	0	71	0	130	0	36	126	0	1645	0	0	0	0	0	0
58ca5bbd-c7fd-4974-a17d-92e66c8ea245	133	32	0	0	66	0	0	0	0	62	0	137	0	0	62	0	131	0	0	65	0	128	0	0	69	0	0	102	0	71	0	129	0	33	122	0	1637	0	0	0	0	0	0
0f9c07eb-fdad-4401-b6e9-6b6aa0f62b18	122	0	21	0	66	0	135	0	0	66	0	130	0	0	63	0	134	0	0	65	0	129	0	0	66	0	124	0	0	63	0	125	0	33	124	0	1580	0	0	0	0	0	0
a0de1ea6-c7ea-4b3b-8181-32eb9e8a7944	122	32	0	0	66	0	125	0	0	66	0	125	0	0	61	0	127	0	0	59	0	125	0	0	0	0	0	0	0	66	0	156	0	0	118	0	1535	0	0	0	0	0	0
30317b39-ec45-49a2-8ea9-e4841fa9e90a	126	32	0	0	66	0	128	0	0	66	0	135	0	0	66	0	128	0	0	62	0	134	0	0	63	0	127	0	0	66	0	132	0	35	122	73	0	0	0	0	0	0	0
c029a929-caa9-4dbe-a36c-9e7e7ee3c1d1	124	29	0	0	61	0	125	0	0	66	0	127	0	0	55	0	130	0	0	61	0	128	0	0	63	0	128	0	0	63	0	120	0	33	116	0	1526	0	0	0	0	0	0
52e5aae8-0593-4d98-bb17-d6e8a2e320d4	130	32	0	0	68	0	127	0	0	65	0	126	0	0	65	0	133	0	0	65	0	123	0	0	66	0	125	0	0	60	0	129	0	33	128	0	1622	0	0	0	0	0	0
75562030-d60e-4520-b2fa-f1f86a5011cb	125	0	21	0	0	61	129	0	0	65	0	129	0	0	63	0	134	0	0	68	0	129	0	0	69	0	126	0	0	66	0	132	0	33	119	59	0	0	0	0	0	0	0
1aff1f81-f019-4152-af6c-c670dc6178e2	118	0	24	0	63	0	129	0	0	74	0	125	0	0	63	0	129	0	0	66	0	129	0	0	66	0	129	0	0	66	0	132	0	39	121	78	0	0	0	0	0	0	0
60c0165e-da59-4b5a-bbad-429d23a9f52b	127	32	0	0	66	0	135	0	0	65	0	132	0	0	66	0	132	0	0	62	0	127	0	0	0	60	128	0	0	0	57	135	0	30	125	0	1619	0	0	0	0	0	0
1eebf189-0fbe-4c74-a8d5-4cf53d2aa149	132	0	24	0	0	61	0	0	0	0	0	132	0	0	63	0	129	0	0	65	0	132	0	0	63	0	323	0	0	63	0	128	0	35	125	0	1613	0	0	0	0	0	0
477dec0d-b23b-4d9b-b223-036c823bebff	132	32	0	0	66	0	131	0	0	66	0	129	0	0	66	0	125	0	0	65	0	131	0	0	66	0	134	0	0	66	0	132	0	33	122	78	0	0	0	0	0	0	0
d9b3aca0-9990-4831-bcab-4a962eea490c	116	0	24	0	0	64	123	0	0	65	0	126	0	0	63	0	129	0	0	62	0	131	0	0	66	0	134	0	0	62	0	125	0	33	122	0	1640	0	0	0	0	0	0
4ec5ca09-ce2e-442c-a2f3-d13a9800ffb4	124	0	24	0	66	0	129	0	0	68	0	132	0	0	66	0	128	0	0	65	0	125	0	0	66	0	125	0	0	62	0	131	0	33	124	59	0	0	0	0	0	0	0
f8217bc5-f418-489f-80dd-398082a470b6	124	32	0	0	0	61	129	0	0	66	0	128	0	0	66	0	125	0	0	62	0	129	0	0	66	0	126	0	0	63	0	128	0	33	120	59	0	182	0	0	0	0	0
0e3b0347-22ad-495c-ada6-27af8b44637b	127	0	24	0	63	0	132	0	0	63	0	129	0	0	60	0	129	0	0	62	0	0	111	0	66	0	132	0	0	65	0	126	0	33	127	0	1631	0	0	0	0	0	0
81458549-dfe1-4f3f-af12-a83a702521f2	130	32	0	0	0	0	0	0	0	0	0	0	0	0	66	0	130	0	0	65	0	128	0	0	66	0	136	0	0	0	0	0	0	33	115	0	1617	0	0	0	0	0	0
b482be4c-5909-4883-9bdc-e5da4823bc51	128	32	0	0	69	0	126	0	0	66	0	133	0	0	63	0	132	0	0	62	0	132	0	0	0	61	129	0	0	66	0	129	0	30	116	0	1628	0	0	0	0	0	0
9e6f6d96-dcbd-4e1e-a060-bfe5fec64ac6	118	32	0	0	72	0	128	0	0	0	65	132	0	0	66	0	0	0	0	65	0	129	0	0	65	0	129	0	0	63	0	129	0	37	119	0	1645	0	0	0	0	0	0
89e42d6d-ba7e-49a8-972e-8d6b7593c39d	129	32	0	0	66	0	137	0	0	63	0	129	0	0	66	0	128	0	0	65	0	131	0	0	66	0	0	110	0	70	0	137	0	33	124	0	1632	0	0	0	0	0	0
65def646-8b96-4177-b919-f30f1f9594be	119	0	26	0	0	0	0	0	0	63	0	0	0	0	63	0	133	0	0	67	0	126	0	0	66	0	318	0	0	66	0	129	0	35	129	0	0	0	0	1140	0	0	0
b10ea1aa-d1e4-4e28-b86d-670702575885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0
3ed71d2e-f3c4-42fd-9435-655864236d1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0
9e3d9538-4126-4686-a8e4-7e4f42569131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0
723d3d78-47d4-46a0-aa3e-3d7978c47f9f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0
d7d80006-bf1a-400a-a7b7-a768505eeff8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0
53da3035-4f1c-4193-ab27-38b4157a0907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0
f33c7d31-ff6a-44cd-bb0c-44dc2bab7f68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0
ea2d803e-8b95-492e-9723-c74db9b92702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0
